food_name_clean,Descriptionen,Foodgroupen,NOVA_step1,Match_reason,NOVA_step2,TFIDF_score,TFIDF_match_name,Match_source,SBERT_score,SBERT_match_name,NOVA_step4,NOVA_final
fruit yoghurt,Fruit yoghurt,Whole milk yoghurt/fromage frais,,,,0.6080627731313163,,SBERT,0.85128963,yogurts yoghurts fruit with added cream,4,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
semi skimmed milk,Semi skimmed milk,Semi-skimmed milks: includes longlife semi-skimmed,,,,0.8440107678550299,,SBERT,0.85781527,milk semi skimmed uht,3,3
kiwi fruit,Kiwi fruit,Fresh fruit,,,1,0.8973355880991024,kiwi fruit raw,TF-IDF,,,,1
pasta shapes wholemeal,"Pasta shapes, wholemeal",Pasta,,,,0.5147748347903778,,SBERT,0.69978106,pasta spaghetti wholemeal boiled,4,4
focaccia bread,Focaccia bread,"Other breads with >8g/100g fat: naan, chapatis (made with fat), fried papadums, croissants, fried bread",,,,0.503423520676201,,SBERT,0.8290845,focaccia italian flatbread plain,4,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
banana,Banana,Fresh fruit,,,4,0.894064151916772,banana cooked,TF-IDF,,,,4
side salad eg including lettuce tomato cucumber no dressing,"Side salad (e.g. including lettuce, tomato, cucumber), no dressing","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.46824857676024007,,SBERT,0.82491875,lettuce salad with egg tomato and or carrots with or without other vegetables no dressing,1,1
white bread,White bread,White bread/rolls,,,4,1.0000000000000002,bread white,TF-IDF,,,,4
baked potato / jacket potato skin eaten,"Baked potato / jacket potato, skin eaten",Jacket potatoes: baked in skins,,,,0.6004145822829121,,SBERT,0.8112763,potatoes old baked flesh skin,1,1
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
special flakes with berries/fruit eg kellogg's special k,"Special Flakes, with berries/fruit (e.g. Kellogg's Special K)","Other breakfast cereals: muesli, bran flakes",,,,0.7302214735633754,,SBERT,0.7516527,kelloggs special k fruit and nut clusters,4,4
broccoli boiled,"Broccoli, boiled","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",3.0,boiled or mashed,,,,Keyword,,,,3.0
clover spread/margarine,Clover spread/margarine,Dairy fat spreads includes hard marg,4.0,processed fat,,,,Keyword,,,,4.0
tuna mayonnaise home made,"Tuna mayonnaise, home made",Oily fish,3.0,homemade item,,,,Keyword,,,,3.0
oatcakes / oat cakes,Oatcakes / Oat cakes,"Savoury biscuits and baked goods eg crackers, oatcakes, water biscuits, cheddars, cheese/savoury scones",,,,0.6969489449515971,,SBERT,0.89722294,oatcakes,4,4
dried apricots including ready to eat,Dried apricots (including ready to eat),Dried fruit,,,,0.8301156000904641,,SBERT,0.96558225,apricots ready to eat semi dried,4,4
jelly,Jelly,"Non milk based sweet puddings: (excluding yoghurts and canned/stewed fruits) e.g. meringue, cheesecake, gateaux, jelly, fruit pies (pastry), crumble",,,,0.7121990376587233,,SBERT,0.7934586,doughnut jelly,4,4
tangerines / mandarins / clementines/ satsumas,Tangerines / mandarins / clementines/ satsumas,Fresh fruit,,,1,0.9052316041909536,tangerines mandarins clementines flesh only,TF-IDF,,,,1
semi skimmed milk,Semi skimmed milk,Semi-skimmed milks: includes longlife semi-skimmed,,,,0.8440107678550299,,SBERT,0.85781527,milk semi skimmed uht,3,3
natural yoghurt,Natural yoghurt,Whole milk yoghurt/fromage frais,1.0,plain dairy,,,,Keyword,,,,1.0
jam/conserve stone fruit eg apricot,"Jam/conserve, stone fruit (e.g. apricot)","Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",,,,0.7330202390988245,,SBERT,0.82050043,jam stone fruit homemade,3,3
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
oats uncooked,Oats (uncooked),"Other breakfast cereals: muesli, bran flakes",,,,0.5933606529621273,,SBERT,0.8634304,oat bran uncooked,1,1
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
oats uncooked,Oats (uncooked),"Other breakfast cereals: muesli, bran flakes",,,,0.5933606529621273,,SBERT,0.8634304,oat bran uncooked,1,1
french stick/baguette bread white,"French stick/baguette (bread), white",White bread/rolls,,,4,1.0000000000000002,bread white french stick,TF-IDF,,,,4
natural yoghurt,Natural yoghurt,Whole milk yoghurt/fromage frais,1.0,plain dairy,,,,Keyword,,,,1.0
jam/conserve berries eg strawberry,"Jam/conserve, berries (e.g. strawberry)","Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",1.0,raw,,,,Keyword,,,,1.0
chicken with a tomato and cheese sauce,Chicken with a tomato and cheese sauce,Chicken/Turkey dishes,,,,0.7275830157824639,,SBERT,0.8949852,chicken in tomato sauce,3,3
jelly,Jelly,"Non milk based sweet puddings: (excluding yoghurts and canned/stewed fruits) e.g. meringue, cheesecake, gateaux, jelly, fruit pies (pastry), crumble",,,,0.7121990376587233,,SBERT,0.7934586,doughnut jelly,4,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
nachos with cheese and salsa,"Nachos, with cheese and salsa","Non-potato snacks e.g. pretzels, tortilla crisps",,,,0.7347337306742637,,SBERT,0.8532584,nachos with beans and cheese,3,3
tangerines / mandarins / clementines/ satsumas,Tangerines / mandarins / clementines/ satsumas,Fresh fruit,,,1,0.9052316041909536,tangerines mandarins clementines flesh only,TF-IDF,,,,1
pasta shapes wholemeal,"Pasta shapes, wholemeal",Pasta,,,,0.5147748347903778,,SBERT,0.69978106,pasta spaghetti wholemeal boiled,4,4
cucumber,Cucumber,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.8439401505448992,,SBERT,0.8401057,cucumber raw,1,1
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
oatcakes / oat cakes,Oatcakes / Oat cakes,"Savoury biscuits and baked goods eg crackers, oatcakes, water biscuits, cheddars, cheese/savoury scones",,,,0.6969489449515971,,SBERT,0.89722294,oatcakes,4,4
clover spread/margarine,Clover spread/margarine,Dairy fat spreads includes hard marg,4.0,processed fat,,,,Keyword,,,,4.0
fish fillet in breadcrumbs/batter grilled or oven baked,Fish fillet in breadcrumbs/batter grilled or oven baked,"Fish in crumbs: fishcakes, fishfingers",,,,0.6746494827091256,,SBERT,0.77094984,fishcakes white fish coated in breadcrumbs baked grilled,4,4
cereal bar with fruit with or without coating,"Cereal bar with fruit, with or without coating","Breakfast alternatives: nutrigrain bar, pop tart, breakfast cereal bars",,,,0.5101561030979201,,SBERT,0.84030306,cereal bars with fruit and nuts not coated unfortified,4,4
toast 50:50 bread eg kingsmill,"Toast, 50:50 bread (e.g. Kingsmill)",Brown and wholemeal bread/rolls,,,,0.5744940751220311,,SBERT,0.65439796,bread sandwich wholemeal thins kingsmill,4,4
lemon curd,Lemon curd,"Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",,,3,0.8723813888510458,lemon curd homemade,TF-IDF,,,,3
green pesto,Green pesto,"Other sauces e.g. vinegar, salad cream, tartare sauce, cook-in-canned sauce",,,4,0.9319327500562353,pesto sauce green,TF-IDF,,,,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
tomato fresh,"Tomato, fresh","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.5922885782104951,,SBERT,0.748809,tomatoes from fresh stewed,1,1
oats uncooked,Oats (uncooked),"Other breakfast cereals: muesli, bran flakes",,,,0.5933606529621273,,SBERT,0.8634304,oat bran uncooked,1,1
banana,Banana,Fresh fruit,,,4,0.894064151916772,banana cooked,TF-IDF,,,,4
reduced fat/light biscuits eg mcvities light digestive,Reduced fat/light biscuits (e.g. Mcvities light digestive),Sweet biscuits: excludes full coated biscuits,4.0,snack item,,,,Keyword,,,,4.0
chicken breast fried,"Chicken breast, fried",Chicken/Turkey dishes,,,,0.719906199107951,,SBERT,0.7649862,chicken liver fried,1,1
jam/conserve berries eg strawberry,"Jam/conserve, berries (e.g. strawberry)","Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",1.0,raw,,,,Keyword,,,,1.0
broccoli steamed/microwaved,"Broccoli, steamed/microwaved","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.7575861107081114,,SBERT,0.7796242,broccoli spears fresh steamed,1,1
natural yoghurt,Natural yoghurt,Whole milk yoghurt/fromage frais,1.0,plain dairy,,,,Keyword,,,,1.0
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
cucumber,Cucumber,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.8439401505448992,,SBERT,0.8401057,cucumber raw,1,1
broccoli steamed/microwaved,"Broccoli, steamed/microwaved","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.7575861107081114,,SBERT,0.7796242,broccoli spears fresh steamed,1,1
toast wholemeal brown bread,"Toast, wholemeal (brown) bread",Brown and wholemeal bread/rolls,,,,0.6297247075896294,,SBERT,0.8615175,brown bread toasted,4,4
pumpkin soup,Pumpkin soup,Soups,,,,0.6840392058761967,,SBERT,0.7578541,pumpkin boiled,1,1
cucumber,Cucumber,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.8439401505448992,,SBERT,0.8401057,cucumber raw,1,1
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
jam/conserve berries eg strawberry,"Jam/conserve, berries (e.g. strawberry)","Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",1.0,raw,,,,Keyword,,,,1.0
chocolate and nut spread eg nutella,Chocolate and nut spread (e.g Nutella),"Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",4.0,branded sweet spread,,,,Keyword,,,,4.0
marshmallows,Marshmallows,"Sweets (non-chocolate): toffee, boiled sweets, gums/jellies, mints, liquorice, raw jelly, popcorn",,,4,1.0,marshmallows,TF-IDF,,,,4
natural yoghurt,Natural yoghurt,Whole milk yoghurt/fromage frais,1.0,plain dairy,,,,Keyword,,,,1.0
lettuce,Lettuce,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.7733338680792732,,SBERT,0.85646427,lettuce raw,1,1
bagel white,"Bagel, white","Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,,,0.8342287508719195,,SBERT,0.7872112,bagel,4,4
carrots raw,"Carrots, raw","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",1.0,raw,,,,Keyword,,,,1.0
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
toast wholemeal brown bread,"Toast, wholemeal (brown) bread",Brown and wholemeal bread/rolls,,,,0.6297247075896294,,SBERT,0.8615175,brown bread toasted,4,4
garlic bread,Garlic bread,"Other breads with >8g/100g fat: naan, chapatis (made with fat), fried papadums, croissants, fried bread",,,4,1.0,bread garlic,TF-IDF,,,,4
pasta with a vegetable based sauce,Pasta with a vegetable based sauce,Non meat based pasta dishes,,,,0.7754775573690791,,SBERT,0.89545035,vegetable pasta in a creamy tomato sauce,3,3
childrens' chewable vitamins with vitamin a 200ug c 40mg d 75ug e 6mg pastel,"Childrens' chewable vitamins with vitamin A (200ug), C (40mg), D (7.5ug), E (6mg), pastel",Misc,,,,0.6507572659192971,,SBERT,0.8862506,childrens chewable vitamins a c d e,NC,NC
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
vitalite dairy free spread/margarine,Vitalite Dairy free spread/margarine,Dairy fat spreads includes hard marg,4.0,processed fat,,,,Keyword,,,,4.0
fruit yoghurt,Fruit yoghurt,Whole milk yoghurt/fromage frais,,,,0.6080627731313163,,SBERT,0.85128963,yogurts yoghurts fruit with added cream,4,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
fruit gums / jelly shapes eg winegums,Fruit gums / jelly shapes (e.g. winegums),"Sweets (non-chocolate): toffee, boiled sweets, gums/jellies, mints, liquorice, raw jelly, popcorn",,,,0.7441026951693556,,SBERT,0.8114394,fruit gums winegums,4,4
mr whippy style ice cream,Mr whippy style ice cream,"Ice cream, ice cream desserts and lollies",,,4,0.8551542854359733,ice cream mr whippy type soft,TF-IDF,,,,4
ice cream topping sauce eg strawberry,Ice cream topping sauce (e.g. strawberry),"Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",1.0,raw,,,,Keyword,,,,1.0
coated chicken pieces fried,"Coated chicken pieces, fried",Chicken in batter,,,,0.7984244671314218,,SBERT,0.8219074,chicken ns as to part fried no coating skin eaten,2,2
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
cod/haddock in batter from takeaway,"Cod/haddock in batter, from takeaway",Fish in batter: all fried fish in batter,4.0,fast food,,,,Keyword,,,,4.0
semi skimmed milk,Semi skimmed milk,Semi-skimmed milks: includes longlife semi-skimmed,,,,0.8440107678550299,,SBERT,0.85781527,milk semi skimmed uht,3,3
weetabix minis chocolate,"Weetabix minis, chocolate","Other breakfast cereals: muesli, bran flakes",4.0,snack item,,,,Keyword,,,,4.0
fruit shoot,Fruit shoot,"Fruit drink, ready to drink (sweetened)e.g. sunny delight, umbongo, five alive",,,,0.6457437867547431,,SBERT,0.69314903,fruit juice drink,4,4
sweet and salty popcorn,Sweet and salty popcorn,"Sweets (non-chocolate): toffee, boiled sweets, gums/jellies, mints, liquorice, raw jelly, popcorn",,,,0.762859249048834,,SBERT,0.8818497,popcorn sweet,4,4
apple skin eaten,"Apple, skin eaten",Fresh fruit,,,,0.5317520969272483,,SBERT,0.8465773,apples eating raw flesh skin only,4,4
orange juice 100% fruit eg tropicana,"Orange juice, 100% fruit (e.g. Tropicana)",Fruit juices e.g. fresh orange juice,,,,0.5742520385666388,,SBERT,0.6937287,baby pure fruit juice rtd,4,4
mushy peas,Mushy peas,"Peas: frozen, fresh, canned, dried & split",,,3,0.9405933271611122,peas mushy canned,TF-IDF,,,,3
tomato ketchup,Tomato ketchup,Ketchup,4.0,processed ketchup,,,,Keyword,,,,4.0
tomato ketchup,Tomato ketchup,Ketchup,4.0,processed ketchup,,,,Keyword,,,,4.0
takeaway chips fries eg burger king kfc,"Takeaway chips, fries (e.g. Burger King, KFC)",Fried chips,4.0,fast food,,,,Keyword,,,,4.0
takeaway chips chip shop style,"Takeaway chips, chip shop style",Fried chips,4.0,fast food,,,,Keyword,,,,4.0
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
roast/grilled chicken leg skin eaten,Roast/grilled chicken leg  (skin eaten),Chicken/Turkey dishes,,,,0.5750641808354038,,SBERT,0.84192115,chicken thigh roasted broiled or baked skin eaten,2,2
yoplait frubes/wildlife choobs,Yoplait Frubes/Wildlife Choobs,Low fat yoghurt/fromage frais,,,,0.7627054654831756,,SBERT,0.7077041,yoplait childrens fromage frais yogurts with added vitamin d eg yoplait frubes and wildlife choobs,4,4
spaghetti/tagliatelle pasta white or tricolore,"Spaghetti/tagliatelle (pasta), white or tricolore",Pasta,,,,0.635640935670514,,SBERT,0.7801844,pasta spaghetti boiled white,3,3
white basmati rice including easycook,White basmati rice (including easy-cook),Rice,,,1,0.9023076139747565,basmati easycook white rice cooked,TF-IDF,,,,1
meatballs in tomato sauce,Meatballs in tomato sauce,Pork and pork dishes,,,3,0.9304223296944557,chicken meatballs in tomato sauce,TF-IDF,,,,3
pain au chocolat/chocolate croissant,Pain au chocolat/chocolate croissant,"Cakes: sweet buns, sweet pastries, fruit scones and custard tart (sweet but not savoury based items)",,,4,0.9718705785327632,pain au chocolate chocolate croissant,TF-IDF,,,,4
iced biscuit eg iced gems,Iced biscuit (e.g. iced gems),Sweet biscuits: excludes full coated biscuits,4.0,snack item,,,,Keyword,,,,4.0
ham sandwich with wholemeal/oatmeal bread,Ham sandwich with wholemeal/oatmeal bread,"Cereal based savouries with vegetable or meat additions: bhajis, samosas, pakora, prawn toasts, spring rolls, meat filled spring roll",,,,0.6129735580878538,,SBERT,0.7060722,oatmeal bread,4,4
cucumber,Cucumber,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.8439401505448992,,SBERT,0.8401057,cucumber raw,1,1
chocolate dairy dessert eg cadbury buttons/flake nestle rolo,"Chocolate dairy dessert, (e.g. Cadbury Buttons/Flake, Nestle Rolo)","Non milk based sweet puddings: (excluding yoghurts and canned/stewed fruits) e.g. meringue, cheesecake, gateaux, jelly, fruit pies (pastry), crumble",,,,0.4322398861443476,,SBERT,0.78427374,nestle chocolate dairy desserts,4,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
cherry tomatoes,Cherry tomatoes,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.7897512336806207,,SBERT,0.669894,tomatoes cherry raw not standard tomatoes,1,1
semi skimmed milk,Semi skimmed milk,Semi-skimmed milks: includes longlife semi-skimmed,,,,0.8440107678550299,,SBERT,0.85781527,milk semi skimmed uht,3,3
chocolate squares/pillows breakfast cereal supermarket brands,"Chocolate squares/pillows, breakfast cereal, supermarket brands","Other breakfast cereals: muesli, bran flakes",4.0,dessert/snack item,,,,Keyword,,,,4.0
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
apple skin eaten,"Apple, skin eaten",Fresh fruit,,,,0.5317520969272483,,SBERT,0.8465773,apples eating raw flesh skin only,4,4
chicken curry home made,Chicken curry home made,Chicken/Turkey dishes,3.0,homemade item,,,,Keyword,,,,3.0
milkshake made with whole milk vanilla,"Milkshake made with whole milk, vanilla","Milkshakes: includes purchased & made from powder mix, made with all milk types",4.0,dessert/snack item,,,,Keyword,,,,4.0
rye bread / pumpernickel,Rye bread / pumpernickel,"Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,,,0.7923568949401367,,SBERT,0.89647424,bread marble rye and pumpernickel,4,4
red/yellow/orange pepper cooked,"Red/yellow/orange pepper, cooked","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.5283899402557095,,SBERT,0.75971246,peppers yellow fresh boiled,4,4
tomato based sauce,Tomato based sauce,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.7992062755302379,,SBERT,0.9343188,tomato sauce,4,4
strawberries,Strawberries,Fresh fruit,1.0,raw,,,,Keyword,,,,1.0
rye bread / pumpernickel,Rye bread / pumpernickel,"Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,,,0.7923568949401367,,SBERT,0.89647424,bread marble rye and pumpernickel,4,4
pain au chocolat/chocolate croissant,Pain au chocolat/chocolate croissant,"Cakes: sweet buns, sweet pastries, fruit scones and custard tart (sweet but not savoury based items)",,,4,0.9718705785327632,pain au chocolate chocolate croissant,TF-IDF,,,,4
chocolate and nut spread eg nutella,Chocolate and nut spread (e.g Nutella),"Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",4.0,branded sweet spread,,,,Keyword,,,,4.0
sour cream based dips reduced fat,"Sour cream based dips, reduced fat","Cream: single, double whipping & sterilised canned cream (excludes artificial creams & toppings)",,,,0.677218831052943,,SBERT,0.8856856,sour cream reduced fat,4,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
onions cooked,"Onions, cooked","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.6973157266499184,,SBERT,0.8970033,onions boiled,3,3
butter unsalted,"Butter, unsalted",Butter: includes half fat butter and other animal fats (e.g. lard),,,4,1.0,butter unsalted,TF-IDF,,,,4
soft cheese fullfat eg philadelphia,"Soft cheese, full-fat (e.g. Philadelphia)",Processed cheese,,,,0.6602134382278845,,SBERT,0.9508672,cheese soft full fat eg philadelphia,4,4
cucumber,Cucumber,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.8439401505448992,,SBERT,0.8401057,cucumber raw,1,1
ham smoked,"Ham, smoked",Bacon and ham,,,4,1.0,ham smoked,TF-IDF,,,,4
semi skimmed milk boiled,"Semi skimmed milk, boiled",Semi-skimmed milks: includes longlife semi-skimmed,3.0,boiled or mashed,,,,Keyword,,,,3.0
cheddar cheese,Cheddar cheese,"Other cheese: edam, cheddar",,,1,0.8735618583644809,cheddar cheese soup,TF-IDF,,,,1
nesquik milkshake powder,Nesquik milkshake powder,"Milkshakes: includes purchased & made from powder mix, made with all milk types",4.0,dessert/snack item,,,,Keyword,,,,4.0
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
wrap/tortilla white,"Wrap/tortilla, white","Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,,,0.6206111549079604,,SBERT,0.6851053,wholemeal wheat tortilla wraps,4,4
cherry tomatoes,Cherry tomatoes,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.7897512336806207,,SBERT,0.669894,tomatoes cherry raw not standard tomatoes,1,1
biscuits filled with cream eg bourbons fox's crunch creams,"Biscuits filled with cream (e.g. bourbons, Fox's crunch creams)",Sweet biscuits: excludes full coated biscuits,4.0,snack item,,,,Keyword,,,,4.0
cucumber,Cucumber,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.8439401505448992,,SBERT,0.8401057,cucumber raw,1,1
sweet or savoury pancake,Sweet or savoury pancake,"Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,,,0.5228923508621676,,SBERT,0.6280725,potato pancake,1,1
mixed leaf salad no dressing,"Mixed leaf salad, no dressing","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,1,0.8542476461082669,mixed leaf salad,TF-IDF,,,,1
chicken fajita including tortilla,Chicken fajita (including tortilla),Chicken/Turkey dishes,,,,0.6157750013679205,,SBERT,0.8462635,fajita with chicken and vegetables,1,1
yoplait frubes/wildlife choobs,Yoplait Frubes/Wildlife Choobs,Low fat yoghurt/fromage frais,,,,0.7627054654831756,,SBERT,0.7077041,yoplait childrens fromage frais yogurts with added vitamin d eg yoplait frubes and wildlife choobs,4,4
red grapes,Red grapes,Fresh fruit,,,,0.5426504058108859,,SBERT,0.74471176,grape nuts,4,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
chocolate truffles/pralines,Chocolate truffles/pralines,"Sweets (non-chocolate): toffee, boiled sweets, gums/jellies, mints, liquorice, raw jelly, popcorn",,,4,0.93409636571378,chocolate truffles and pralines only,TF-IDF,,,,4
