Descriptionen,Descriptionen_clean,NOVA_keyword,Keyword_reason,NOVA_tfidf,TFIDF_score,TFIDF_match,TFIDF_source,NOVA_sbert,SBERT_score,SBERT_match,SBERT_source,Model_disagree_flag,NOVA_disagree_flag,Decision_flag,NOVA_final,Matched_name,Final_source,Final_reason
White bread,white bread,,,4,1.0,bread white soda,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Baked potato / jacket potato, skin eaten","baked potato / jacket potato, skin eaten",3.0,description: boiled/baked/jacket,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: boiled/baked/jacket
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Special Flakes, with berries/fruit (e.g. Kellogg's Special K)","special flakes, with berries/fruit (e.g. kellogg's special k)",4.0,group: processed cereal (group),,,,,,,,,False,False,auto_accept,4.0,,keyword,group: processed cereal (group)
"Broccoli, boiled","broccoli, boiled",3.0,description: boiled/baked/jacket,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: boiled/baked/jacket
Clover spread/margarine,clover spread/margarine,4.0,description: processed fat,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: processed fat
"Tuna mayonnaise, home made","tuna mayonnaise, home made",3.0,description: homemade,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: homemade
Oatcakes / Oat cakes,oatcakes / oat cakes,,,,,,,4,0.91344,oatcakes,NDNS,False,False,auto_accept,4,oatcakes,NDNS,SBERT matched
Dried apricots (including ready to eat),dried apricots (including ready to eat),1.0,group: dried fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: dried fruit (group)
Jelly,jelly,4.0,description: sweet snack,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: sweet snack
Tangerines / mandarins / clementines/ satsumas,tangerines / mandarins / clementines/ satsumas,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
Semi skimmed milk,semi skimmed milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
Natural yoghurt,natural yoghurt,1.0,description: plain yoghurt,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain yoghurt
"Jam/conserve, stone fruit (e.g. apricot)","jam/conserve, stone fruit (e.g. apricot)",4.0,description: spread/syrup,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: spread/syrup
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Oats (uncooked),oats (uncooked),1.0,description: raw cereal: oats (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: raw cereal: oats (description)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Oats (uncooked),oats (uncooked),1.0,description: raw cereal: oats (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: raw cereal: oats (description)
"French stick/baguette (bread), white","french stick/baguette (bread), white",,,,,,,4,0.8625489,bread white french stick,NDNS,False,False,auto_accept,4,bread white french stick,NDNS,SBERT matched
Natural yoghurt,natural yoghurt,1.0,description: plain yoghurt,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain yoghurt
"Jam/conserve, berries (e.g. strawberry)","jam/conserve, berries (e.g. strawberry)",4.0,description: spread/syrup,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: spread/syrup
Chicken with a tomato and cheese sauce,chicken with a tomato and cheese sauce,,,3,0.9079223518046199,eggplant with cheese and tomato sauce,Giulia,,,,,False,False,auto_accept,3,,Giulia,TF-IDF matched
Jelly,jelly,4.0,description: sweet snack,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: sweet snack
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Nachos, with cheese and salsa","nachos, with cheese and salsa",,,4,0.8792218903211269,nachos cheese corn chips with melted cheese and salsa,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
Tangerines / mandarins / clementines/ satsumas,tangerines / mandarins / clementines/ satsumas,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
"Pasta shapes, wholemeal","pasta shapes, wholemeal",,,,,,,,0.78618354,flavored pasta,,False,False,auto_accept,,,,Unmatched
Cucumber,cucumber,,,1,1.0,cucumber raw,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Oatcakes / Oat cakes,oatcakes / oat cakes,,,,,,,4,0.91344,oatcakes,NDNS,False,False,auto_accept,4,oatcakes,NDNS,SBERT matched
Clover spread/margarine,clover spread/margarine,4.0,description: processed fat,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: processed fat
Fish fillet in breadcrumbs/batter grilled or oven baked,fish fillet in breadcrumbs/batter grilled or oven baked,,,,,,,4,0.8376669,fishcakes white fish coated in breadcrumbs baked grilled,NDNS,False,False,auto_accept,4,fishcakes white fish coated in breadcrumbs baked grilled,NDNS,SBERT matched
"Cereal bar with fruit, with or without coating","cereal bar with fruit, with or without coating",,,,,,,4,0.89806986,cereal bar with fruits no nuts not coated uf,NDNS,False,False,auto_accept,4,cereal bar with fruits no nuts not coated uf,NDNS,SBERT matched
"Toast, 50:50 bread (e.g. Kingsmill)","toast, 50:50 bread (e.g. kingsmill)",,,,,,,4,0.80003977,bread white toasted,NDNS,False,False,auto_accept,4,bread white toasted,NDNS,SBERT matched
Lemon curd,lemon curd,4.0,group: preserves (group),,,,,,,,,False,False,auto_accept,4.0,,keyword,group: preserves (group)
Green pesto,green pesto,,,4,0.8913730792514549,pesto sauce green,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Tomato, fresh","tomato, fresh",,,,,,,1,0.86090165,tomato puree,Giulia,False,False,auto_accept,1,tomato puree,Giulia,SBERT matched
Oats (uncooked),oats (uncooked),1.0,description: raw cereal: oats (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: raw cereal: oats (description)
Banana,banana,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
Reduced fat/light biscuits (e.g. Mcvities light digestive),reduced fat/light biscuits (e.g. mcvities light digestive),,,,,,,,0.77709854,reduced fat biscuits including digestives rich teas and hob nobs,,False,False,auto_accept,,,,Unmatched
"Chicken breast, fried","chicken breast, fried",,,,,,,4,0.83652663,chicken breast coated purchased fried in p s oil no bones,NDNS,False,False,auto_accept,4,chicken breast coated purchased fried in p s oil no bones,NDNS,SBERT matched
"Jam/conserve, berries (e.g. strawberry)","jam/conserve, berries (e.g. strawberry)",4.0,description: spread/syrup,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: spread/syrup
"Broccoli, steamed/microwaved","broccoli, steamed/microwaved",,,,,,,,0.7798661,broccoli spears fresh steamed,,False,False,auto_accept,,,,Unmatched
Natural yoghurt,natural yoghurt,1.0,description: plain yoghurt,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain yoghurt
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Cucumber,cucumber,,,1,1.0,cucumber raw,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
"Broccoli, steamed/microwaved","broccoli, steamed/microwaved",,,,,,,,0.7798661,broccoli spears fresh steamed,,False,False,auto_accept,,,,Unmatched
"Toast, wholemeal (brown) bread","toast, wholemeal (brown) bread",,,,,,,4,0.9164678,bread wholemeal toasted,NDNS,False,False,auto_accept,4,bread wholemeal toasted,NDNS,SBERT matched
Pumpkin soup,pumpkin soup,,,,,,,,0.73023677,homemade mushroom soup,,False,False,auto_accept,,,,Unmatched
Cucumber,cucumber,,,1,1.0,cucumber raw,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Jam/conserve, berries (e.g. strawberry)","jam/conserve, berries (e.g. strawberry)",4.0,description: spread/syrup,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: spread/syrup
Chocolate and nut spread (e.g Nutella),chocolate and nut spread (e.g nutella),4.0,group: preserves (group),,,,,,,,,False,False,auto_accept,4.0,,keyword,group: preserves (group)
Marshmallows,marshmallows,,,4,1.0,marshmallows,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
Natural yoghurt,natural yoghurt,1.0,description: plain yoghurt,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain yoghurt
Lettuce,lettuce,,,1,1.0,lettuce unspecified raw,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
"Bagel, white","bagel, white",,,4,0.8820054710045775,bagel,Giulia,,,,,False,False,auto_accept,4,,Giulia,TF-IDF matched
"Carrots, raw","carrots, raw",1.0,description: raw (word-bound),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: raw (word-bound)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Toast, wholemeal (brown) bread","toast, wholemeal (brown) bread",,,,,,,4,0.9164678,bread wholemeal toasted,NDNS,False,False,auto_accept,4,bread wholemeal toasted,NDNS,SBERT matched
Garlic bread,garlic bread,,,4,1.0,garlic herb bread,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
Pasta with a vegetable based sauce,pasta with a vegetable based sauce,,,,,,,3,0.91108245,vegetable pasta in a creamy tomato sauce,NDNS,False,False,auto_accept,3,vegetable pasta in a creamy tomato sauce,NDNS,SBERT matched
"Childrens' chewable vitamins with vitamin A (200ug), C (40mg), D (7.5ug), E (6mg), pastel","childrens' chewable vitamins with vitamin a (200ug), c (40mg), d (7.5ug), e (6mg), pastel",,,,,,,NC,0.9093064,childrens chewable vitamins a c d e,NDNS,False,False,auto_accept,NC,childrens chewable vitamins a c d e,NDNS,SBERT matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Vitalite Dairy free spread/margarine,vitalite dairy free spread/margarine,4.0,description: processed fat,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: processed fat
Fruit yoghurt,fruit yoghurt,,,,,,,4,0.8444589,wholemilk fruit yogurt yoghurt with added fibre,NDNS,False,False,auto_accept,4,wholemilk fruit yogurt yoghurt with added fibre,NDNS,SBERT matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Fruit gums / jelly shapes (e.g. winegums),fruit gums / jelly shapes (e.g. winegums),4.0,description: sweet snack,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: sweet snack
Mr whippy style ice cream,mr whippy style ice cream,4.0,description: processed dessert,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: processed dessert
Ice cream topping sauce (e.g. strawberry),ice cream topping sauce (e.g. strawberry),4.0,description: spread/syrup,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: spread/syrup
"Coated chicken pieces, fried","coated chicken pieces, fried",,,4,0.9138850893187518,coated chicken pieces takeaway,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Cod/haddock in batter, from takeaway","cod/haddock in batter, from takeaway",4.0,description: takeaway food,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: takeaway food
Semi skimmed milk,semi skimmed milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
"Weetabix minis, chocolate","weetabix minis, chocolate",4.0,group: processed cereal (group),,,,,,,,,False,False,auto_accept,4.0,,keyword,group: processed cereal (group)
Fruit shoot,fruit shoot,,,4,1.0,robinsons fruit shoot nas rtd,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
Sweet and salty popcorn,sweet and salty popcorn,4.0,description: sweet snack,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: sweet snack
"Apple, skin eaten","apple, skin eaten",1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
"Orange juice, 100% fruit (e.g. Tropicana)","orange juice, 100% fruit (e.g. tropicana)",,,,,,,,0.7882722,fruit juice drink,,False,False,auto_accept,,,,Unmatched
Mushy peas,mushy peas,,,3,0.8773829407652824,peas mushy canned,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
Tomato ketchup,tomato ketchup,4.0,description: processed ketchup,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: processed ketchup
Tomato ketchup,tomato ketchup,4.0,description: processed ketchup,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: processed ketchup
"Takeaway chips, fries (e.g. Burger King, KFC)","takeaway chips, fries (e.g. burger king, kfc)",4.0,description: takeaway food,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: takeaway food
"Takeaway chips, chip shop style","takeaway chips, chip shop style",4.0,description: takeaway food,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: takeaway food
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Roast/grilled chicken leg  (skin eaten),roast/grilled chicken leg (skin eaten),,,,,,,1,0.8641465,chicken leg quarter roast meat and skin no bones,NDNS,False,False,auto_accept,1,chicken leg quarter roast meat and skin no bones,NDNS,SBERT matched
Yoplait Frubes/Wildlife Choobs,yoplait frubes/wildlife choobs,1.0,group: yoghurt/plain dairy (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: yoghurt/plain dairy (group)
"Spaghetti/tagliatelle (pasta), white or tricolore","spaghetti/tagliatelle (pasta), white or tricolore",,,,,,,,0.76597524,pasta spaghetti dried white,,False,False,auto_accept,,,,Unmatched
White basmati rice (including easy-cook),white basmati rice (including easy-cook),,,,,,,1,0.90242326,basmati easycook white rice cooked,NDNS,False,False,auto_accept,1,basmati easycook white rice cooked,NDNS,SBERT matched
Meatballs in tomato sauce,meatballs in tomato sauce,,,3,0.9336109453353711,chicken meatballs in tomato sauce,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
Pain au chocolat/chocolate croissant,pain au chocolat/chocolate croissant,,,,,,,4,0.9200438,pain au chocolate chocolate croissant,NDNS,False,False,auto_accept,4,pain au chocolate chocolate croissant,NDNS,SBERT matched
Iced biscuit (e.g. iced gems),iced biscuit (e.g. iced gems),,,,,,,4,0.83201194,iced biscuits,NDNS,False,False,auto_accept,4,iced biscuits,NDNS,SBERT matched
Ham sandwich with wholemeal/oatmeal bread,ham sandwich with wholemeal/oatmeal bread,,,,,,,,0.78597736,ham sandwich with spread,,False,False,auto_accept,,,,Unmatched
Cucumber,cucumber,,,1,1.0,cucumber raw,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
"Chocolate dairy dessert, (e.g. Cadbury Buttons/Flake, Nestle Rolo)","chocolate dairy dessert, (e.g. cadbury buttons/flake, nestle rolo)",4.0,description: processed dessert,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: processed dessert
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Cherry tomatoes,cherry tomatoes,,,1,0.8857426966968704,tomatoes cherry raw not standard tomatoes,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
Semi skimmed milk,semi skimmed milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
"Chocolate squares/pillows, breakfast cereal, supermarket brands","chocolate squares/pillows, breakfast cereal, supermarket brands",4.0,group: processed cereal (group),,,,,,,,,False,False,auto_accept,4.0,,keyword,group: processed cereal (group)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Apple, skin eaten","apple, skin eaten",1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
Chicken curry home made,chicken curry home made,3.0,description: homemade,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: homemade
"Milkshake made with whole milk, vanilla","milkshake made with whole milk, vanilla",1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
Rye bread / pumpernickel,rye bread / pumpernickel,,,,,,,4,0.89479303,bread marble rye and pumpernickel,Giulia,False,False,auto_accept,4,bread marble rye and pumpernickel,Giulia,SBERT matched
"Red/yellow/orange pepper, cooked","red/yellow/orange pepper, cooked",,,,,,,,0.7445562,peppers red cooked ns as to fat added in cooking,,False,False,auto_accept,,,,Unmatched
Tomato based sauce,tomato based sauce,,,3,0.9453326109994742,venison deer with tomato based sauce mixture,Giulia,,,,,False,False,auto_accept,3,,Giulia,TF-IDF matched
Strawberries,strawberries,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
Rye bread / pumpernickel,rye bread / pumpernickel,,,,,,,4,0.89479303,bread marble rye and pumpernickel,Giulia,False,False,auto_accept,4,bread marble rye and pumpernickel,Giulia,SBERT matched
Pain au chocolat/chocolate croissant,pain au chocolat/chocolate croissant,,,,,,,4,0.9200438,pain au chocolate chocolate croissant,NDNS,False,False,auto_accept,4,pain au chocolate chocolate croissant,NDNS,SBERT matched
Chocolate and nut spread (e.g Nutella),chocolate and nut spread (e.g nutella),4.0,group: preserves (group),,,,,,,,,False,False,auto_accept,4.0,,keyword,group: preserves (group)
"Sour cream based dips, reduced fat","sour cream based dips, reduced fat",,,,,,,4,0.8701359,sour cream reduced fat,Giulia,False,False,auto_accept,4,sour cream reduced fat,Giulia,SBERT matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Onions, cooked","onions, cooked",,,,,,,1,0.8550059,onions mature cooked from fresh ns as to fat added in cooking,Giulia,False,False,auto_accept,1,onions mature cooked from fresh ns as to fat added in cooking,Giulia,SBERT matched
"Butter, unsalted","butter, unsalted",3.0,group: culinary fat/oil (group),,,,,,,,,False,False,auto_accept,3.0,,keyword,group: culinary fat/oil (group)
"Soft cheese, full-fat (e.g. Philadelphia)","soft cheese, full-fat (e.g. philadelphia)",,,4,1.0,cheese soft full fat eg philadelphia,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
Cucumber,cucumber,,,1,1.0,cucumber raw,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
"Ham, smoked","ham, smoked",,,4,1.0000000000000002,ham smoked,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Semi skimmed milk, boiled","semi skimmed milk, boiled",1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
Cheddar cheese,cheddar cheese,,,3,1.0000000000000002,cheese cheddar irish,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
Nesquik milkshake powder,nesquik milkshake powder,4.0,description: processed dessert,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: processed dessert
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Wrap/tortilla, white","wrap/tortilla, white",,,,,,,,0.7572849,wholemeal wheat tortilla wraps,,False,False,auto_accept,,,,Unmatched
Cherry tomatoes,cherry tomatoes,,,1,0.8857426966968704,tomatoes cherry raw not standard tomatoes,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
"Biscuits filled with cream (e.g. bourbons, Fox's crunch creams)","biscuits filled with cream (e.g. bourbons, fox's crunch creams)",,,,,,,4,0.8481746,biscuits with cream and jam,NDNS,False,False,auto_accept,4,biscuits with cream and jam,NDNS,SBERT matched
Cucumber,cucumber,,,1,1.0,cucumber raw,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
Sweet or savoury pancake,sweet or savoury pancake,,,,,,,,0.74458504,potato pancake,,False,False,auto_accept,,,,Unmatched
"Mixed leaf salad, no dressing","mixed leaf salad, no dressing",,,,,,,1,0.87426615,mixed leaf salad,NDNS,False,False,auto_accept,1,mixed leaf salad,NDNS,SBERT matched
Chicken fajita (including tortilla),chicken fajita (including tortilla),,,,,,,1,0.8822278,fajita with chicken and vegetables,Giulia,False,False,auto_accept,1,fajita with chicken and vegetables,Giulia,SBERT matched
Yoplait Frubes/Wildlife Choobs,yoplait frubes/wildlife choobs,1.0,group: yoghurt/plain dairy (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: yoghurt/plain dairy (group)
Red grapes,red grapes,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Chocolate truffles/pralines,chocolate truffles/pralines,,,,,,,4,0.9319118,chocolate truffles and pralines only,NDNS,False,False,auto_accept,4,chocolate truffles and pralines only,NDNS,SBERT matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Orange juice, 100% fruit (e.g. Tropicana)","orange juice, 100% fruit (e.g. tropicana)",,,,,,,,0.7882722,fruit juice drink,,False,False,auto_accept,,,,Unmatched
Scotch pancake/drop scone,scotch pancake/drop scone,,,,,,,,0.7139814,scotch pancakes,,False,False,auto_accept,,,,Unmatched
Chocolate and nut spread (e.g Nutella),chocolate and nut spread (e.g nutella),4.0,group: preserves (group),,,,,,,,,False,False,auto_accept,4.0,,keyword,group: preserves (group)
Yoplait Frubes/Wildlife Choobs,yoplait frubes/wildlife choobs,1.0,group: yoghurt/plain dairy (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: yoghurt/plain dairy (group)
Iced biscuit (e.g. iced gems),iced biscuit (e.g. iced gems),,,,,,,4,0.83201194,iced biscuits,NDNS,False,False,auto_accept,4,iced biscuits,NDNS,SBERT matched
Cherry tomatoes,cherry tomatoes,,,1,0.8857426966968704,tomatoes cherry raw not standard tomatoes,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
