Descriptionen,Failure_reason
"Orange squash, high juice, no added sugar, diluted",No match found
"Fruit squash / juice, no added sugar, diluted",No match found
"Fruit squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Corn on the cob (sweetcorn),No match found
Brioche burger bun/hot dog bun,No match found
Fanta,No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Wrap/tortilla, white",No match found
Pepperami or snack salami,No match found
"Blackcurrant squash , high juice, no added sugar, diluted",No match found
White chocolate bar (e.g. milky bar),No match found
Corn on the cob (sweetcorn),No match found
Pepperami or snack salami,No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
Copy of Fruit yoghurt,No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
Vegetable crisps,No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
Vegetable crisps,No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
Pepperami or snack salami,No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
Cheesy mash,No match found
"Vimto, still",No match found
"Vimto, still",No match found
"Orange and mango juice, 100% fruit (e.g. Tropicana)",No match found
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",No match found
Weetabix Weetos,No match found
"Dairy squirty/spray cream, light/reduced fat (e.g. anchor)",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Vimto, still",No match found
"Vimto, still",No match found
"Vimto, still",No match found
"Vimto, still",No match found
"Sweetcorn / sweet corn, canned",No match found
"Wrap/tortilla, white",No match found
Vegetarian chicken-style pieces/strips (e.g. Quorn),No match found
Dairy squirty/spray cream (e.g. anchor),No match found
Weetabix Weetos,No match found
Chicken skewer,No match found
"Wrap/tortilla, white",No match found
"Vimto, still",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Ring doughnut, without icing",No match found
Candy coated chocolate drops (e.g. mini eggs),No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
Pom Bears (crisps),No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Oreos, including supermarket brands",No match found
Robinson's fruit shoot juiced,No match found
"Fruit squash / juice, with ADDED SUGAR, diluted",No match found
"Chicken goujon/nugget/dipper, in breadcrumb or batter",No match found
Pom Bears (crisps),No match found
"Fruit squash / juice, with ADDED SUGAR, diluted",No match found
Pom Bears (crisps),No match found
Robinson's fruit shoot juiced,No match found
"Sweetcorn / sweet corn, canned",No match found
Pom Bears (crisps),No match found
"Fruit squash / juice, with ADDED SUGAR, diluted",No match found
Square crisps / Discos,No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Prawn cocktail snacks (e.g. Skips),No match found
"Ginger biscuit (e.g. ginger nuts, gingerbread men)",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Houmous/hummus,No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Fox's party rings,No match found
Robinson's fruit shoot juiced,No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Houmous/hummus,No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Fox's party rings,No match found
"Potato shapes (e.g. Alphabites, Smilies), grilled/baked",No match found
"Sweetcorn / sweet corn, canned",No match found
"Mini sweetcorn (babycorn), cooked",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Diet Coca-Cola, e.g. Coke Zero, Pepsi Max",No match found
Digestive biscuit,No match found
Digestive biscuit,No match found
Quorn mince,No match found
"Vimto, still",No match found
Pringles,No match found
"Vimto, still",No match found
"Vimto, still",No match found
"Vimto, still",No match found
Kit Kat / Kit Kat Chunky (including supermarket own brand equivalents),No match found
Pringles,No match found
Pringles,No match found
"Sweetcorn / sweet corn, canned",No match found
"Vimto, still",No match found
Cadbury Fudge bar,No match found
"Vimto, still",No match found
"Sweetcorn / sweet corn, canned",No match found
"Orange squash / juice, with ADDED SUGAR, diluted",No match found
"Orange squash / juice, with ADDED SUGAR, diluted",No match found
"Meat pizza (e.g. Hawaiian, pepperoni, meat feast)",No match found
"Orange squash / juice, with ADDED SUGAR, diluted",No match found
"Orange squash, high juice, no added sugar, diluted",No match found
Copy of Fruit yoghurt,No match found
"Orange squash, high juice, no added sugar, diluted",No match found
"Savoury rice, made up from a packet",No match found
"Orange squash, high juice, no added sugar, diluted",No match found
"Coca-Cola/Coke/Pepsi, supermarket brands",No match found
"Orange squash, high juice, no added sugar, diluted",No match found
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",No match found
"Flavoured water, still or fizzy (with added sugar) (e.g. Volvic a touch of fruit)",No match found
"Orange squash, high juice, no added sugar, diluted",No match found
"Flavoured water, still or fizzy (with added sugar) (e.g. Volvic a touch of fruit)",No match found
Fanta Zero,No match found
"Orange squash, high juice, no added sugar, diluted",No match found
"Orange squash, high juice, no added sugar, diluted",No match found
Ham sandwich with wholemeal/oatmeal bread,No match found
"Orange squash, high juice, no added sugar, diluted",No match found
"Fruit squash / juice, with ADDED SUGAR, diluted",No match found
"Fruit squash / juice, with ADDED SUGAR, diluted",No match found
Pringles,No match found
"Pure fruit puree, ready to eat pot or pouch",No match found
"Fruit squash / juice, with ADDED SUGAR, diluted",No match found
"Coconut-based yoghurt, fruit, e.g. The Coconut Collaborative",No match found
"Coconut-based yoghurt, fruit, e.g. The Coconut Collaborative",No match found
Malt loaf (e.g. Soreen),No match found
"Wrap/tortilla, white",No match found
"Fruit squash / juice, with ADDED SUGAR, diluted",No match found
Pom Bears (crisps),No match found
Malt loaf (e.g. Soreen),No match found
"Fruit squash / juice, with ADDED SUGAR, diluted",No match found
"Fruit squash / juice, with ADDED SUGAR, diluted",No match found
Ham sandwich with wholemeal/oatmeal bread,No match found
Malt loaf (e.g. Soreen),No match found
"Fruit squash / juice, with ADDED SUGAR, diluted",No match found
"Fruit squash / juice, with ADDED SUGAR, diluted",No match found
"Bacon, unsmoked, fried (fat removed)",No match found
"Cereal bar, plain (e.g. Nature Valley)",No match found
"Pasta shapes, wholemeal",No match found
"Fruit squash / juice, with ADDED SUGAR, diluted",No match found
Pringles,No match found
Pom Bears (crisps),No match found
"Semi-sweet biscuit (e.g. Rich Tea, Morning Coffee)",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Diet Coca-Cola, e.g. Coke Zero, Pepsi Max",No match found
"Ribena juice drink, ready to drink",No match found
"Orange squash, high juice, no added sugar, diluted",No match found
"Orange squash, high juice, no added sugar, diluted",No match found
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",No match found
"Sweetcorn / sweet corn, canned",No match found
Carrot and swede mash,No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Orange squash / juice, with ADDED SUGAR, diluted",No match found
"Orange squash / juice, with ADDED SUGAR, diluted",No match found
"Sweetcorn / sweet corn, canned",No match found
"Orange squash / juice, with ADDED SUGAR, diluted",No match found
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",No match found
"Orange squash / juice, with ADDED SUGAR, diluted",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Orange squash / juice, with ADDED SUGAR, diluted",No match found
"Orange squash / juice, with ADDED SUGAR, diluted",No match found
"Orange squash / juice, with ADDED SUGAR, diluted",No match found
Time Out bar,No match found
"Honey hoops cereal (cheerios), supermarket brands",No match found
Prawn cocktail snacks (e.g. Skips),No match found
Vegetable fingers/nuggets,No match found
"Coconut-based yoghurt, fruit, e.g. The Coconut Collaborative",No match found
Red berry fruit smoothie,No match found
"Spaghetti/tagliatelle (pasta), white or tricolore",No match found
Tuna mayo sandwich with white/malted bread,No match found
Lollipops (e.g. Chupa Chups),No match found
Passata (strained tomatoes),No match found
Red berry fruit smoothie,No match found
"Chocolate covered caramels e.g. toffee poppets, Rolo's, eclairs",No match found
Tuna mayo sandwich with white/malted bread,No match found
"Chocolate covered caramels e.g. toffee poppets, Rolo's, eclairs",No match found
Robinson's fruit shoot juiced,No match found
Mini cheddars,No match found
Red berry fruit smoothie,No match found
Red berry fruit smoothie,No match found
Tuna mayo sandwich with white/malted bread,No match found
Brioche burger bun/hot dog bun,No match found
Scotch pancake/drop scone,No match found
Chocolate mini roll,No match found
,No match found
Dairy squirty/spray cream (e.g. anchor),No match found
Tuna mayo sandwich with white/malted bread,No match found
Cheese dippers (e.g. Laughing Cow),No match found
Scotch pancake/drop scone,No match found
"Chapati, white",No match found
"Chapati, white",No match found
Ham sandwich with wholemeal/oatmeal bread,No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Scotch pancake/drop scone,No match found
Poppadums,No match found
"Meat pizza (e.g. Hawaiian, pepperoni, meat feast)",No match found
"Meat pizza (e.g. Hawaiian, pepperoni, meat feast)",No match found
Pom Bears (crisps),No match found
Chocolate mini roll,No match found
Chocolate mini roll,No match found
Square crisps / Discos,No match found
Pringles,No match found
Twister ice lolly,No match found
Malteser bunny,No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Red berry fruit smoothie,No match found
Scotch pancake/drop scone,No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
Red berry fruit smoothie,No match found
Digestive biscuit,No match found
"Savoury rice, made up from a packet",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Mini sweetcorn / sweet corn (babycorn), canned",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Gluten-free flapjack,No match found
"Flavoured water, still or fizzy (with added sugar) (e.g. Volvic a touch of fruit)",No match found
Sweet or savoury pancake,No match found
"Flavoured water, still or fizzy (with added sugar) (e.g. Volvic a touch of fruit)",No match found
Cadbury Fudge bar,No match found
"Spaghetti/tagliatelle (pasta), white or tricolore",No match found
"Spaghetti/tagliatelle (pasta), white or tricolore",No match found
Digestive biscuit,No match found
Copy of Fruit yoghurt,No match found
"Udon/ramen noodles (e.g. plain, not egg)",No match found
Lancashire/Lamb hot pot/hotpot,No match found
"Sandwich thins, white",No match found
"Yam, fried (Mach alu (Dioscorea species) vaga)",No match found
"Fruit squash / juice, no added sugar, diluted",No match found
"Pure fruit puree, ready to eat pot or pouch",No match found
"Potato shapes (e.g. Alphabites, Smilies), fried",No match found
"Fruit squash / juice, no added sugar, diluted",No match found
"Fruit squash / juice, no added sugar, diluted",No match found
"Fruit squash / juice, no added sugar, diluted",No match found
Prawn cocktail snacks (e.g. Skips),No match found
"Fruit squash / juice, no added sugar, diluted",No match found
"Fruit squash / juice, no added sugar, diluted",No match found
"Fruit squash / juice, no added sugar, diluted",No match found
Ritz crisp and thins,No match found
"Fruit squash / juice, no added sugar, diluted",No match found
"Fruit squash / juice, no added sugar, diluted",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Orange squash, no added sugar, diluted",No match found
"Fruit squash / juice, no added sugar, diluted",No match found
White or wholegrain ready cooked plain rice (e.g. Uncle Bens),No match found
"Fruit squash / juice, no added sugar, diluted",No match found
"Baby biscuits/biscotti (e.g. Organix goodies, Heinz biscotti)",No match found
Prawn cocktail snacks (e.g. Skips),No match found
"Baby biscuits/biscotti (e.g. Organix goodies, Heinz biscotti)",No match found
"Fruit squash / juice, no added sugar, diluted",No match found
"Fruit squash / juice, no added sugar, diluted",No match found
Ritz crisp and thins,No match found
"Fruit squash / juice, no added sugar, diluted",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
Chocolate coated biscuit and marshmallow (e.g. Wagon wheel),No match found
"Sweetcorn / sweet corn, cooked",No match found
"Multigrain hoops (cheerios), supermarket brands",No match found
Chocolate coated biscuit and marshmallow (e.g. Wagon wheel),No match found
"Multigrain hoops (cheerios), supermarket brands",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Mixed fruit juice drink, ready to drink, no added sugar (e.g. Oasis zero)",No match found
Malt loaf (e.g. Soreen),No match found
Magnum classic or white,No match found
"Sweetcorn / sweet corn, cooked",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
Pepperami or snack salami,No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Spaghetti/tagliatelle (pasta), wholemeal",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Honey hoops cereal (cheerios), supermarket brands",No match found
"Spaghetti/tagliatelle (pasta), wholemeal",No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Meat pizza (e.g. Hawaiian, pepperoni, meat feast)",No match found
"Spaghetti/tagliatelle (pasta), wholemeal",No match found
"Orange and mango juice, 100% fruit (e.g. Tropicana)",No match found
"Honey hoops cereal (cheerios), supermarket brands",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
Kit Kat / Kit Kat Chunky (including supermarket own brand equivalents),No match found
Digestive biscuit,No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Chips, french fries/fine cut, fried (from frozen)",No match found
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",No match found
"Orange squash, no added sugar, diluted",No match found
"Chips, french fries/fine cut, fried (from frozen)",No match found
Brioche burger bun/hot dog bun,No match found
Decaf tea,No match found
Garlic/flavoured naan bread,No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Diet Coca-Cola, e.g. Coke Zero, Pepsi Max",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Scotch pancake/drop scone,No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Chocolate squares/pillows, breakfast cereal (e.g. Kellogg's Krave)",No match found
Cheese sandwich with wholemeal/oatmeal bread,No match found
Dolly mixtures / candy canes,No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
Chocolate mini roll,No match found
Bacon sandwich with wholemeal/oatmeal bread,No match found
"Orange squash, no added sugar, diluted",No match found
"Chocolate squares/pillows, breakfast cereal (e.g. Kellogg's Krave)",No match found
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Chicken goujon/nugget/dipper, in breadcrumb or batter",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Cheese sandwich with wholemeal/oatmeal bread,No match found
Square crisps / Discos,No match found
"Orange squash, no added sugar, diluted",No match found
"Chocolate squares/pillows, breakfast cereal (e.g. Kellogg's Krave)",No match found
Cheese sandwich with wholemeal/oatmeal bread,No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Chocolate squares/pillows, breakfast cereal (e.g. Kellogg's Krave)",No match found
"Orange squash, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Dairy squirty/spray cream (e.g. anchor),No match found
Tuna mayo sandwich with white/malted bread,No match found
"Orange and mango juice, 100% fruit (e.g. Tropicana)",No match found
"Orange squash / juice, with ADDED SUGAR, diluted",No match found
"Ring doughnut, without icing",No match found
"Ribena juice drink, ready to drink",No match found
"Chicken goujon/nugget/dipper, in breadcrumb or batter",No match found
BBQ Southern fried chicken wrap,No match found
Pop tart,No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
Cream filled wafer (e.g. Happy hippo),No match found
Cheesy mash,No match found
"Double strength squash, no added sugar, not diluted",No match found
"Double strength squash, no added sugar, not diluted",No match found
Dairylea Dunkers (includes cheese dip and dunker (e.g. breadsticks),No match found
Cake slice with chocolate chip,No match found
Cake slice with chocolate chip,No match found
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",No match found
"Sandwich thins, white",No match found
"Double strength squash, no added sugar, not diluted",No match found
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
Dairylea Dunkers (includes cheese dip and dunker (e.g. breadsticks),No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Potato shapes (e.g. Alphabites, Smilies), grilled/baked",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Carbonated beverages, with no added sugar containing juice e.g. Diet lilt, Diet Bitter lemon.",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Cake slice with chocolate chip,No match found
"Sandwich thins, white",No match found
"Sandwich thins, white",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Carbonated beverages, with no added sugar containing juice e.g. Diet lilt, Diet Bitter lemon.",No match found
"Hash browns, grilled / baked",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
Corn on the cob (sweetcorn),No match found
Cake slice with chocolate chip,No match found
"Sweetcorn / sweet corn, cooked",No match found
Cadbury Dairy Milk Caramel Chocolate,No match found
"Pizza base, plain (including dough balls)",No match found
Chocolate coated biscuit and marshmallow (e.g. Wagon wheel),No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Multigrain hoops (cheerios), supermarket brands",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Diet Coca-Cola, e.g. Coke Zero, Pepsi Max",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
Spicy/sweet chilli chicken wrap,No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Twin pot yoghurt, with fruit (e.g. Muller Corner)",No match found
Chocolate coated biscuit and marshmallow (e.g. Wagon wheel),No match found
Twix (chocolate & caramel biscuit fingers),No match found
"Honey hoops cereal (cheerios), supermarket brands",No match found
Chocolate coated biscuit and marshmallow (e.g. Wagon wheel),No match found
Couscous (plain),No match found
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",No match found
Babybel cheese,No match found
Garlic/flavoured naan bread,No match found
Vegetable crisps,No match found
White or wholegrain ready cooked plain rice (e.g. Uncle Bens),No match found
Milk Chocolate shapes (e.g mice/coins),No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Prescription iron supplement, 27.5mg (e.g. Sytron), 5ml oral solution (teaspoon)",No match found
Matchmakers (e.g. mint/orange),No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Prescription iron supplement, 27.5mg (e.g. Sytron), 5ml oral solution (teaspoon)",No match found
Sugar-snap peas,No match found
"Prescription iron supplement, 27.5mg (e.g. Sytron), 5ml oral solution (teaspoon)",No match found
Ham sandwich with wholemeal/oatmeal bread,No match found
Copy of Fruit yoghurt,No match found
"Prescription iron supplement, 27.5mg (e.g. Sytron), 5ml oral solution (teaspoon)",No match found
"Fruit smoothie with added vitamins (e.g. Naked, super smoothie, protect/energise type)",No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
Copy of Fruit yoghurt,No match found
Digestive biscuit,No match found
Pepperami or snack salami,No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Omelette, with vegetables",No match found
Maltesers (including supermarket brand equivalents),No match found
Dairy squirty/spray cream (e.g. anchor),No match found
Dairy squirty/spray cream (e.g. anchor),No match found
"Chapati, white",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Chicken goujon/nugget/dipper, in breadcrumb or batter",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Potato shapes (e.g. Alphabites, Smilies), fried",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
Malt loaf (e.g. Soreen),No match found
"Dairy squirty/spray cream, light/reduced fat (e.g. anchor)",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
McDonalds Cheeseburger,No match found
"Red/yellow/orange pepper, cooked",No match found
Iced lemon/angel cake slice (e.g. Mr Kipling),No match found
Iced lemon/angel cake slice (e.g. Mr Kipling),No match found
"Sweetcorn / sweet corn, cooked",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
Tunnock's caramel wafer,No match found
"Spaghetti/tagliatelle (pasta), white or tricolore",No match found
Iced lemon/angel cake slice (e.g. Mr Kipling),No match found
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",No match found
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",No match found
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",No match found
"Sweetcorn / sweet corn, canned, puree",No match found
Red berry fruit smoothie,No match found
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",No match found
"Crinkle-cut crisps (e.g. McCoy's, Seabrooks)",No match found
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",No match found
Corn on the cob (sweetcorn),No match found
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",No match found
Mayonnaise (e.g. Hellmans),No match found
Mayonnaise (e.g. Hellmans),No match found
Corn on the cob (sweetcorn),No match found
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",No match found
Corn on the cob (sweetcorn),No match found
Pom Bears (crisps),No match found
Beef sandwich with wholemeal/oatmeal bread,No match found
"Orange squash / juice, with ADDED SUGAR, diluted",No match found
"Wrap/tortilla, white",No match found
Passata (strained tomatoes),No match found
Garlic/flavoured naan bread,No match found
Pom Bears (crisps),No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
Ham sandwich with wholemeal/oatmeal bread,No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Rice cake, savoury flavoured (e.g. Snack a Jacks)",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Greek style yoghurt, fruit/honey",No match found
Twister ice lolly,No match found
"Sweetcorn / sweet corn, cooked",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
Red berry fruit smoothie,No match found
"Ribena squash / juice , diluted, no added sugar",No match found
Red berry fruit smoothie,No match found
"Ribena squash / juice , diluted, no added sugar",No match found
Tyrells crisps,No match found
"Multigrain hoops (cheerios), supermarket brands",No match found
"Diet Coca-Cola, e.g. Coke Zero, Pepsi Max",No match found
"Pancetta, cooked",No match found
Red berry fruit smoothie,No match found
Square crisps / Discos,No match found
"Greek style yoghurt, fruit/honey",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
