Descriptionen,NOVA_final_fallback,Fallback_source,Fallback_reason
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
Mini cheddars,3,NDNS,SBERT fallback
Vegetarian mince chilli (e.g. Quorn),4,Giulia,SBERT fallback
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",3,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
Malt loaf (e.g. Soreen),4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
McDonalds Cheeseburger,4,NDNS,SBERT fallback
"Orange squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Corn on the cob (sweetcorn),4,NDNS,SBERT fallback
Brioche burger bun/hot dog bun,4,Giulia,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
"Wrap/tortilla, white",4,NDNS,SBERT fallback
Pepperami or snack salami,4,NDNS,SBERT fallback
"Blackcurrant squash , high juice, no added sugar, diluted",4,NDNS,SBERT fallback
White chocolate bar (e.g. milky bar),4,NDNS,SBERT fallback
Corn on the cob (sweetcorn),4,NDNS,SBERT fallback
Pepperami or snack salami,4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",3,NDNS,SBERT fallback
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",3,NDNS,SBERT fallback
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",3,NDNS,SBERT fallback
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",3,NDNS,SBERT fallback
Copy of Fruit yoghurt,4,NDNS,SBERT fallback
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",3,NDNS,SBERT fallback
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",3,NDNS,SBERT fallback
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",3,NDNS,SBERT fallback
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",3,NDNS,SBERT fallback
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",3,NDNS,SBERT fallback
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",3,NDNS,SBERT fallback
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",3,NDNS,SBERT fallback
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",3,NDNS,SBERT fallback
Vegetable crisps,4,NDNS,SBERT fallback
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",3,NDNS,SBERT fallback
Vegetable crisps,4,NDNS,SBERT fallback
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",3,NDNS,SBERT fallback
Pepperami or snack salami,4,NDNS,SBERT fallback
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",3,NDNS,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Orange and mango juice, 100% fruit (e.g. Tropicana)",1,NDNS,SBERT fallback
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",3,NDNS,SBERT fallback
Weetabix Weetos,4,NDNS,SBERT fallback
"Dairy squirty/spray cream, light/reduced fat (e.g. anchor)",4,Giulia,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Sweetcorn / sweet corn, canned",3,NDNS,SBERT fallback
"Wrap/tortilla, white",4,NDNS,SBERT fallback
Vegetarian chicken-style pieces/strips (e.g. Quorn),4,NDNS,SBERT fallback
Dairy squirty/spray cream (e.g. anchor),3,NDNS,SBERT fallback
Weetabix Weetos,4,NDNS,SBERT fallback
Chicken skewer,2,Giulia,SBERT fallback
"Wrap/tortilla, white",4,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Ring doughnut, without icing",4,NDNS,SBERT fallback
Candy coated chocolate drops (e.g. mini eggs),4,Giulia,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",3,NDNS,SBERT fallback
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",3,NDNS,SBERT fallback
"Oreos, including supermarket brands",4,NDNS,SBERT fallback
Robinson's fruit shoot juiced,4,NDNS,SBERT fallback
"Fruit squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Chicken goujon/nugget/dipper, in breadcrumb or batter",4,NDNS,SBERT fallback
"Fruit squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
Robinson's fruit shoot juiced,4,NDNS,SBERT fallback
"Sweetcorn / sweet corn, canned",3,NDNS,SBERT fallback
"Fruit squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
Square crisps / Discos,4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Prawn cocktail snacks (e.g. Skips),4,NDNS,SBERT fallback
"Ginger biscuit (e.g. ginger nuts, gingerbread men)",3,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Houmous/hummus,1,Giulia,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Robinson's fruit shoot juiced,4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Houmous/hummus,1,Giulia,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Potato shapes (e.g. Alphabites, Smilies), grilled/baked",4,NDNS,SBERT fallback
"Sweetcorn / sweet corn, canned",3,NDNS,SBERT fallback
"Mini sweetcorn (babycorn), cooked",3,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Diet Coca-Cola, e.g. Coke Zero, Pepsi Max",4,NDNS,SBERT fallback
Digestive biscuit,4,NDNS,SBERT fallback
Digestive biscuit,4,NDNS,SBERT fallback
Quorn mince,4,NDNS,TF-IDF fallback
Kit Kat / Kit Kat Chunky (including supermarket own brand equivalents),4,NDNS,SBERT fallback
"Sweetcorn / sweet corn, canned",3,NDNS,SBERT fallback
Cadbury Fudge bar,4,NDNS,SBERT fallback
"Sweetcorn / sweet corn, canned",3,NDNS,SBERT fallback
"Orange squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Orange squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Meat pizza (e.g. Hawaiian, pepperoni, meat feast)",4,Giulia,SBERT fallback
"Orange squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Orange squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
Copy of Fruit yoghurt,4,NDNS,SBERT fallback
"Orange squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Savoury rice, made up from a packet",4,NDNS,SBERT fallback
"Orange squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Coca-Cola/Coke/Pepsi, supermarket brands",1,NDNS,SBERT fallback
"Orange squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",4,NDNS,SBERT fallback
"Flavoured water, still or fizzy (with added sugar) (e.g. Volvic a touch of fruit)",4,NDNS,SBERT fallback
"Orange squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Flavoured water, still or fizzy (with added sugar) (e.g. Volvic a touch of fruit)",4,NDNS,SBERT fallback
"Orange squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Orange squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
Ham sandwich with wholemeal/oatmeal bread,4,Giulia,SBERT fallback
"Orange squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Fruit squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Fruit squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Pure fruit puree, ready to eat pot or pouch",1,NDNS,SBERT fallback
"Fruit squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Coconut-based yoghurt, fruit, e.g. The Coconut Collaborative",3,NDNS,SBERT fallback
"Coconut-based yoghurt, fruit, e.g. The Coconut Collaborative",3,NDNS,SBERT fallback
Malt loaf (e.g. Soreen),4,NDNS,SBERT fallback
"Wrap/tortilla, white",4,NDNS,SBERT fallback
"Fruit squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
Malt loaf (e.g. Soreen),4,NDNS,SBERT fallback
"Fruit squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Fruit squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
Ham sandwich with wholemeal/oatmeal bread,4,Giulia,SBERT fallback
Malt loaf (e.g. Soreen),4,NDNS,SBERT fallback
"Fruit squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Fruit squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Bacon, unsmoked, fried (fat removed)",3,NDNS,SBERT fallback
"Cereal bar, plain (e.g. Nature Valley)",4,Giulia,SBERT fallback
"Pasta shapes, wholemeal",1,Giulia,SBERT fallback
"Fruit squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Semi-sweet biscuit (e.g. Rich Tea, Morning Coffee)",4,NDNS,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Diet Coca-Cola, e.g. Coke Zero, Pepsi Max",4,NDNS,SBERT fallback
"Ribena juice drink, ready to drink",4,NDNS,SBERT fallback
"Orange squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Orange squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",3,NDNS,SBERT fallback
"Sweetcorn / sweet corn, canned",3,NDNS,SBERT fallback
Carrot and swede mash,1,Giulia,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Orange squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Orange squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Sweetcorn / sweet corn, canned",3,NDNS,SBERT fallback
"Orange squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",3,NDNS,SBERT fallback
"Orange squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Orange squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Orange squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Orange squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Honey hoops cereal (cheerios), supermarket brands",4,NDNS,SBERT fallback
Prawn cocktail snacks (e.g. Skips),4,NDNS,SBERT fallback
Vegetable fingers/nuggets,4,NDNS,SBERT fallback
"Coconut-based yoghurt, fruit, e.g. The Coconut Collaborative",3,NDNS,SBERT fallback
Red berry fruit smoothie,4,NDNS,SBERT fallback
"Spaghetti/tagliatelle (pasta), white or tricolore",1,NDNS,SBERT fallback
Tuna mayo sandwich with white/malted bread,4,NDNS,SBERT fallback
Passata (strained tomatoes),1,NDNS,SBERT fallback
Red berry fruit smoothie,4,NDNS,SBERT fallback
"Chocolate covered caramels e.g. toffee poppets, Rolo's, eclairs",4,Giulia,SBERT fallback
Tuna mayo sandwich with white/malted bread,4,NDNS,SBERT fallback
"Chocolate covered caramels e.g. toffee poppets, Rolo's, eclairs",4,Giulia,SBERT fallback
Robinson's fruit shoot juiced,4,NDNS,SBERT fallback
Mini cheddars,3,NDNS,SBERT fallback
Red berry fruit smoothie,4,NDNS,SBERT fallback
Red berry fruit smoothie,4,NDNS,SBERT fallback
Tuna mayo sandwich with white/malted bread,4,NDNS,SBERT fallback
Brioche burger bun/hot dog bun,4,Giulia,SBERT fallback
Scotch pancake/drop scone,3,NDNS,SBERT fallback
Chocolate mini roll,4,Giulia,SBERT fallback
Dairy squirty/spray cream (e.g. anchor),3,NDNS,SBERT fallback
Tuna mayo sandwich with white/malted bread,4,NDNS,SBERT fallback
Cheese dippers (e.g. Laughing Cow),4,NDNS,SBERT fallback
Scotch pancake/drop scone,3,NDNS,SBERT fallback
"Chapati, white",4,NDNS,SBERT fallback
"Chapati, white",4,NDNS,SBERT fallback
Ham sandwich with wholemeal/oatmeal bread,4,Giulia,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Scotch pancake/drop scone,3,NDNS,SBERT fallback
"Meat pizza (e.g. Hawaiian, pepperoni, meat feast)",4,Giulia,SBERT fallback
"Meat pizza (e.g. Hawaiian, pepperoni, meat feast)",4,Giulia,SBERT fallback
Chocolate mini roll,4,Giulia,SBERT fallback
Chocolate mini roll,4,Giulia,SBERT fallback
Square crisps / Discos,4,NDNS,SBERT fallback
Twister ice lolly,4,Giulia,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Red berry fruit smoothie,4,NDNS,SBERT fallback
Scotch pancake/drop scone,3,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
Red berry fruit smoothie,4,NDNS,SBERT fallback
Digestive biscuit,4,NDNS,SBERT fallback
"Savoury rice, made up from a packet",4,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Mini sweetcorn / sweet corn (babycorn), canned",4,Giulia,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Gluten-free flapjack,4,NDNS,SBERT fallback
"Flavoured water, still or fizzy (with added sugar) (e.g. Volvic a touch of fruit)",4,NDNS,SBERT fallback
Sweet or savoury pancake,1,Giulia,SBERT fallback
"Flavoured water, still or fizzy (with added sugar) (e.g. Volvic a touch of fruit)",4,NDNS,SBERT fallback
Cadbury Fudge bar,4,NDNS,SBERT fallback
"Spaghetti/tagliatelle (pasta), white or tricolore",1,NDNS,SBERT fallback
"Spaghetti/tagliatelle (pasta), white or tricolore",1,NDNS,SBERT fallback
Digestive biscuit,4,NDNS,SBERT fallback
Copy of Fruit yoghurt,4,NDNS,SBERT fallback
"Udon/ramen noodles (e.g. plain, not egg)",3,Giulia,SBERT fallback
Lancashire/Lamb hot pot/hotpot,3,NDNS,SBERT fallback
"Sandwich thins, white",4,NDNS,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Pure fruit puree, ready to eat pot or pouch",1,NDNS,SBERT fallback
"Potato shapes (e.g. Alphabites, Smilies), fried",1,Giulia,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Prawn cocktail snacks (e.g. Skips),4,NDNS,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Ritz crisp and thins,4,NDNS,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
White or wholegrain ready cooked plain rice (e.g. Uncle Bens),3,NDNS,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Baby biscuits/biscotti (e.g. Organix goodies, Heinz biscotti)",4,NDNS,SBERT fallback
Prawn cocktail snacks (e.g. Skips),4,NDNS,SBERT fallback
"Baby biscuits/biscotti (e.g. Organix goodies, Heinz biscotti)",4,NDNS,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Ritz crisp and thins,4,NDNS,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
Chocolate coated biscuit and marshmallow (e.g. Wagon wheel),4,NDNS,SBERT fallback
"Sweetcorn / sweet corn, cooked",1,Giulia,SBERT fallback
"Multigrain hoops (cheerios), supermarket brands",4,NDNS,SBERT fallback
Chocolate coated biscuit and marshmallow (e.g. Wagon wheel),4,NDNS,SBERT fallback
"Multigrain hoops (cheerios), supermarket brands",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Mixed fruit juice drink, ready to drink, no added sugar (e.g. Oasis zero)",4,Giulia,SBERT fallback
Malt loaf (e.g. Soreen),4,NDNS,SBERT fallback
"Sweetcorn / sweet corn, cooked",1,Giulia,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
Pepperami or snack salami,4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Spaghetti/tagliatelle (pasta), wholemeal",4,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Honey hoops cereal (cheerios), supermarket brands",4,NDNS,SBERT fallback
"Spaghetti/tagliatelle (pasta), wholemeal",4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Meat pizza (e.g. Hawaiian, pepperoni, meat feast)",4,Giulia,SBERT fallback
"Spaghetti/tagliatelle (pasta), wholemeal",4,NDNS,SBERT fallback
"Orange and mango juice, 100% fruit (e.g. Tropicana)",1,NDNS,SBERT fallback
"Honey hoops cereal (cheerios), supermarket brands",4,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
Kit Kat / Kit Kat Chunky (including supermarket own brand equivalents),4,NDNS,SBERT fallback
Digestive biscuit,4,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
"Chips, french fries/fine cut, fried (from frozen)",4,NDNS,SBERT fallback
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",3,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Chips, french fries/fine cut, fried (from frozen)",4,NDNS,SBERT fallback
Brioche burger bun/hot dog bun,4,Giulia,SBERT fallback
Decaf tea,1,NDNS,SBERT fallback
Garlic/flavoured naan bread,4,NDNS,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Diet Coca-Cola, e.g. Coke Zero, Pepsi Max",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Scotch pancake/drop scone,3,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Chocolate squares/pillows, breakfast cereal (e.g. Kellogg's Krave)",4,NDNS,SBERT fallback
Cheese sandwich with wholemeal/oatmeal bread,4,NDNS,SBERT fallback
Dolly mixtures / candy canes,4,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
Chocolate mini roll,4,Giulia,SBERT fallback
Bacon sandwich with wholemeal/oatmeal bread,4,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Chocolate squares/pillows, breakfast cereal (e.g. Kellogg's Krave)",4,NDNS,SBERT fallback
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",3,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Chicken goujon/nugget/dipper, in breadcrumb or batter",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Cheese sandwich with wholemeal/oatmeal bread,4,NDNS,SBERT fallback
Square crisps / Discos,4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Chocolate squares/pillows, breakfast cereal (e.g. Kellogg's Krave)",4,NDNS,SBERT fallback
Cheese sandwich with wholemeal/oatmeal bread,4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Chocolate squares/pillows, breakfast cereal (e.g. Kellogg's Krave)",4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Dairy squirty/spray cream (e.g. anchor),3,NDNS,SBERT fallback
Tuna mayo sandwich with white/malted bread,4,NDNS,SBERT fallback
"Orange and mango juice, 100% fruit (e.g. Tropicana)",1,NDNS,SBERT fallback
"Orange squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Ring doughnut, without icing",4,NDNS,SBERT fallback
"Ribena juice drink, ready to drink",4,NDNS,SBERT fallback
"Chicken goujon/nugget/dipper, in breadcrumb or batter",4,NDNS,SBERT fallback
BBQ Southern fried chicken wrap,4,NDNS,SBERT fallback
Pop tart,4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
Cream filled wafer (e.g. Happy hippo),4,NDNS,SBERT fallback
"Double strength squash, no added sugar, not diluted",1,Giulia,SBERT fallback
